Entity,Code,Year,City population,Projected
Chongqing,,1985,3446230,
Chongqing,,1990,4010601.9999999995,
Chongqing,,1995,5615367,
Chongqing,,2000,7862976,
Chongqing,,2005,9454076,
Chongqing,,2010,11243667,
Chongqing,,2015,13372015,
Chongqing,,2020,,15872179
Chongqing,,2025,,18171198
Chongqing,,2030,,19649097
Chongqing,,2035,,20531266
Delhi,,1950,1369369,
Delhi,,1955,1781624,
Delhi,,1960,2282962,
Delhi,,1965,2845042,
Delhi,,1970,3530693,
Delhi,,1975,4436385,
Delhi,,1980,5587014,
Delhi,,1985,7225758,
Delhi,,1990,9384209,
Delhi,,1995,12138233,
Delhi,,2000,15691899,
Delhi,,2005,18691330,
Delhi,,2010,21987895,
Delhi,,2015,25865875,
Delhi,,2020,,30290936
Delhi,,2025,,34665569
Delhi,,2030,,38938697
Delhi,,2035,,43345059
Dhaka,,1950,335760,
Dhaka,,1955,408866,
Dhaka,,1960,507920.99999999994,
Dhaka,,1965,820740,
Dhaka,,1970,1373718,
Dhaka,,1975,2221055,
Dhaka,,1980,3265663,
Dhaka,,1985,4660384,
Dhaka,,1990,6620697,
Dhaka,,1995,8332473.999999999,
Dhaka,,2000,10284947,
Dhaka,,2005,12330879,
Dhaka,,2010,14730537,
Dhaka,,2015,17597177,
Dhaka,,2020,,21005860
Dhaka,,2025,,24652864
Dhaka,,2030,,28075660
Dhaka,,2035,,31233651
Guangzhou,,1950,1048975,
Guangzhou,,1955,1155063,
Guangzhou,,1960,1271914,
Guangzhou,,1965,1400511,
Guangzhou,,1970,1542151,
Guangzhou,,1975,1698116,
Guangzhou,,1980,1869905,
Guangzhou,,1985,2355566,
Guangzhou,,1990,3245991,
Guangzhou,,1995,5035339,
Guangzhou,,2000,7812008,
Guangzhou,,2005,9055056,
Guangzhou,,2010,10278197,
Guangzhou,,2015,11694882,
Guangzhou,,2020,,13301532
Guangzhou,,2025,,14878691
Guangzhou,,2030,,16024165
Guangzhou,,2035,,16740973
Istanbul,,1950,967497,
Istanbul,,1955,1248709,
Istanbul,,1960,1453353,
Istanbul,,1965,2001192,
Istanbul,,1970,2772095,
Istanbul,,1975,3600332,
Istanbul,,1980,4397037,
Istanbul,,1985,5407297,
Istanbul,,1990,6552160,
Istanbul,,1995,7665403,
Istanbul,,2000,8743868,
Istanbul,,2005,10465694,
Istanbul,,2010,12584885,
Istanbul,,2015,14126772,
Istanbul,,2020,,15190336
Istanbul,,2025,,16236702.999999998
Istanbul,,2030,,17124240
Istanbul,,2035,,17986297
Jakarta,,1950,1452000,
Jakarta,,1955,1972106,
Jakarta,,1960,2678740,
Jakarta,,1965,3296964,
Jakarta,,1970,3915406,
Jakarta,,1975,4813132,
Jakarta,,1980,5984256,
Jakarta,,1985,7009030,
Jakarta,,1990,8174756,
Jakarta,,1995,8321858.000000001,
Jakarta,,2000,8389759,
Jakarta,,2005,8988406,
Jakarta,,2010,9625579,
Jakarta,,2015,10173388,
Jakarta,,2020,,10770487
Jakarta,,2025,,11634078
Jakarta,,2030,,12686756
Jakarta,,2035,,13688321
Karachi,,1950,1055380,
Karachi,,1955,1419491,
Karachi,,1960,1853325,
Karachi,,1965,2405037,
Karachi,,1970,3118723,
Karachi,,1975,3989191,
Karachi,,1980,5047815,
Karachi,,1985,6032582,
Karachi,,1990,7147064,
Karachi,,1995,8467439,
Karachi,,2000,9825295,
Karachi,,2005,11131559,
Karachi,,2010,12611924,
Karachi,,2015,14289160,
Karachi,,2020,,16093786.000000002
Karachi,,2025,,18076794
Karachi,,2030,,20431848
Karachi,,2035,,23128137
Kinshasa,,1950,201905,
Kinshasa,,1955,292398,
Kinshasa,,1960,442853,
Kinshasa,,1965,717018,
Kinshasa,,1970,1069714,
Kinshasa,,1975,1481820,
Kinshasa,,1980,2052874,
Kinshasa,,1985,2811896,
Kinshasa,,1990,3683274,
Kinshasa,,1995,4824684,
Kinshasa,,2000,6140419,
Kinshasa,,2005,7589069,
Kinshasa,,2010,9381673,
Kinshasa,,2015,11597706,
Kinshasa,,2020,,14342439
Kinshasa,,2025,,17778474
Kinshasa,,2030,,21914342
Kinshasa,,2035,,26681825
Kolkata,,1950,4604143,
Kolkata,,1955,5219086,
Kolkata,,1960,5910210,
Kolkata,,1965,6589384,
Kolkata,,1970,7329372,
Kolkata,,1975,8165628.999999999,
Kolkata,,1980,9100166,
Kolkata,,1985,10003665,
Kolkata,,1990,10974177,
Kolkata,,1995,11992194,
Kolkata,,2000,13097153,
Kolkata,,2005,13595152,
Kolkata,,2010,14002798,
Kolkata,,2015,14422670,
Kolkata,,2020,,14850066
Kolkata,,2025,,15845219
Kolkata,,2030,,17583604
Kolkata,,2035,,19564170
Lagos,,1950,325218,
Lagos,,1955,468460,
Lagos,,1960,762418,
Lagos,,1965,1135439,
Lagos,,1970,1413528,
Lagos,,1975,1889802,
Lagos,,1980,2572218,
Lagos,,1985,3500464,
Lagos,,1990,4764093,
Lagos,,1995,5982680,
Lagos,,2000,7280706,
Lagos,,2005,8859399,
Lagos,,2010,10441182,
Lagos,,2015,12239206,
Lagos,,2020,,14368332
Lagos,,2025,,17156393
Lagos,,2030,,20600156
Lagos,,2035,,24418768
Lahore,,1950,835769,
Lahore,,1955,1021679,
Lahore,,1960,1264277,
Lahore,,1965,1574981,
Lahore,,1970,1963951,
Lahore,,1975,2398576,
Lahore,,1980,2881596,
Lahore,,1985,3387873,
Lahore,,1990,3970161,
Lahore,,1995,4652529,
Lahore,,2000,5576372,
Lahore,,2005,6856969,
Lahore,,2010,8432132,
Lahore,,2015,10369137,
Lahore,,2020,,12642423
Lahore,,2025,,14825828
Lahore,,2030,,16883085
Lahore,,2035,,19116605
Los Angeles,,1950,4045514,
Los Angeles,,1955,5154301,
Los Angeles,,1960,6529638,
Los Angeles,,1965,7407634,
Los Angeles,,1970,8377685,
Los Angeles,,1975,8925518,
Los Angeles,,1980,9511568,
Los Angeles,,1985,10181172,
Los Angeles,,1990,10883429,
Los Angeles,,1995,11338890,
Los Angeles,,2000,11798345,
Los Angeles,,2005,11977857,
Los Angeles,,2010,12160151,
Los Angeles,,2015,12345219,
Los Angeles,,2020,,12446597
Los Angeles,,2025,,12677559
Los Angeles,,2030,,13209244
Los Angeles,,2035,,13778153
Manila,,1950,1543666,
Manila,,1955,1871605,
Manila,,1960,2273734,
Manila,,1965,2828883,
Manila,,1970,3534309,
Manila,,1975,4999303,
Manila,,1980,5954719,
Manila,,1985,6887920,
Manila,,1990,7972799,
Manila,,1995,9401255,
Manila,,2000,9957962,
Manila,,2005,10750752,
Manila,,2010,11887189,
Manila,,2015,12860058,
Manila,,2020,,13923452
Manila,,2025,,15230559
Manila,,2030,,16841340
Manila,,2035,,18649422
Mexico City,,1950,3365081,
Mexico City,,1955,4293878,
Mexico City,,1960,5479184,
Mexico City,,1965,6969157,
Mexico City,,1970,8830947,
Mexico City,,1975,10733860,
Mexico City,,1980,13027620,
Mexico City,,1985,14278216,
Mexico City,,1990,15642318,
Mexico City,,1995,17017469,
Mexico City,,2000,18457027,
Mexico City,,2005,19276065,
Mexico City,,2010,20136681,
Mexico City,,2015,21339781,
Mexico City,,2020,,21782378
Mexico City,,2025,,22752414
Mexico City,,2030,,24110599
Mexico City,,2035,,25414624
Moscow,,1950,5356392,
Moscow,,1955,5748746,
Moscow,,1960,6169961,
Moscow,,1965,6621780,
Moscow,,1970,7106457,
Moscow,,1975,7622703,
Moscow,,1980,8136141,
Moscow,,1985,8579920,
Moscow,,1990,8986631,
Moscow,,1995,9200994,
Moscow,,2000,10004523,
Moscow,,2005,10751428,
Moscow,,2010,11461264,
Moscow,,2015,12049135,
Moscow,,2020,,12537954
Moscow,,2025,,12737356
Moscow,,2030,,12795712
Moscow,,2035,,12822748
Mumbai,,1950,3088811,
Mumbai,,1955,3726210,
Mumbai,,1960,4414904,
Mumbai,,1965,5314300,
Mumbai,,1970,6412876,
Mumbai,,1975,7685346,
Mumbai,,1980,9199543,
Mumbai,,1985,10685530,
Mumbai,,1990,12355090,
Mumbai,,1995,14135363,
Mumbai,,2000,16146526.999999998,
Mumbai,,2005,17257072,
Mumbai,,2010,18257413,
Mumbai,,2015,19315737,
Mumbai,,2020,,20411274
Mumbai,,2025,,22088953
Mumbai,,2030,,24572450
Mumbai,,2035,,27342819
New York,,1950,12338471,
New York,,1955,13219362,
New York,,1960,14163521,
New York,,1965,15176758,
New York,,1970,16191180,
New York,,1975,15880271,
New York,,1980,15601401,
New York,,1985,15826788,
New York,,1990,16085598.999999998,
New York,,1995,16942770,
New York,,2000,17813371,
New York,,2005,18087174,
New York,,2010,18365262,
New York,,2015,18647626,
New York,,2020,,18803552
New York,,2025,,19154024
New York,,2030,,19957605
New York,,2035,,20817170
Osaka,,1950,7005284,
Osaka,,1955,8622976,
Osaka,,1960,10614841,
Osaka,,1965,13065322,
Osaka,,1970,15271510,
Osaka,,1975,16298124.000000002,
Osaka,,1980,17027547,
Osaka,,1985,17582632,
Osaka,,1990,18388783,
Osaka,,1995,18939588,
Osaka,,2000,18660022,
Osaka,,2005,18762099,
Osaka,,2010,19312646,
Osaka,,2015,19304722,
Osaka,,2020,,19165340
Osaka,,2025,,18921632
Osaka,,2030,,18658055
Osaka,,2035,,18345611
Paris,,1950,6283018,
Paris,,1955,6796437,
Paris,,1960,7410735,
Paris,,1965,7855185,
Paris,,1970,8208121,
Paris,,1975,8557844,
Paris,,1980,8669349,
Paris,,1985,8956222,
Paris,,1990,9330327,
Paris,,1995,9510103,
Paris,,2000,9736538,
Paris,,2005,10091795,
Paris,,2010,10460118,
Paris,,2015,10733502,
Paris,,2020,,11017230
Paris,,2025,,11346802
Paris,,2030,,11709788
Paris,,2035,,12064575
Rio de Janeiro,,1950,3026195,
Rio de Janeiro,,1955,3687344,
Rio de Janeiro,,1960,4493182,
Rio de Janeiro,,1965,5522674,
Rio de Janeiro,,1970,6790519,
Rio de Janeiro,,1975,7733429,
Rio de Janeiro,,1980,8783870,
Rio de Janeiro,,1985,9241709,
Rio de Janeiro,,1990,9697487,
Rio de Janeiro,,1995,10431518,
Rio de Janeiro,,2000,11306768,
Rio de Janeiro,,2005,11831807,
Rio de Janeiro,,2010,12373884,
Rio de Janeiro,,2015,12940796,
Rio de Janeiro,,2020,,13458075
Rio de Janeiro,,2025,,13923245
Rio de Janeiro,,2030,,14408259
Rio de Janeiro,,2035,,14810180
Sao Paulo,,1950,2334038,
Sao Paulo,,1955,3043828,
Sao Paulo,,1960,3969759,
Sao Paulo,,1965,5494150,
Sao Paulo,,1970,7620490,
Sao Paulo,,1975,9614016,
Sao Paulo,,1980,12089454,
Sao Paulo,,1985,13394815,
Sao Paulo,,1990,14775840,
Sao Paulo,,1995,15913473,
Sao Paulo,,2000,17014078,
Sao Paulo,,2005,18288134,
Sao Paulo,,2010,19659808,
Sao Paulo,,2015,20883046,
Sao Paulo,,2020,,22043028
Sao Paulo,,2025,,22990007
Sao Paulo,,2030,,23824223
Sao Paulo,,2035,,24490136
Shanghai,,1950,4288091,
Shanghai,,1955,5712858,
Shanghai,,1960,6865312,
Shanghai,,1965,6428131,
Shanghai,,1970,6052468,
Shanghai,,1975,5658129,
Shanghai,,1980,5927898,
Shanghai,,1985,7096280,
Shanghai,,1990,8605812,
Shanghai,,1995,11072063,
Shanghai,,2000,14246541,
Shanghai,,2005,17055788,
Shanghai,,2010,20314309,
Shanghai,,2015,23482181,
Shanghai,,2020,,27058479
Shanghai,,2025,,30482140
Shanghai,,2030,,32869265
Shanghai,,2035,,34341242
Shenzhen,,1950,3148,
Shenzhen,,1955,5112,
Shenzhen,,1960,8302,
Shenzhen,,1965,13480,
Shenzhen,,1970,21890,
Shenzhen,,1975,35547,
Shenzhen,,1980,58983,
Shenzhen,,1985,193113,
Shenzhen,,1990,875000,
Shenzhen,,1995,2393747,
Shenzhen,,2000,6550414,
Shenzhen,,2005,8409066,
Shenzhen,,2010,10222916,
Shenzhen,,2015,11275391,
Shenzhen,,2020,,12356820
Shenzhen,,2025,,13545445
Shenzhen,,2030,,14537252
Shenzhen,,2035,,15185481
Tianjin,,1950,2467096,
Tianjin,,1955,2760676,
Tianjin,,1960,2935185,
Tianjin,,1965,3120620,
Tianjin,,1970,3317826,
Tianjin,,1975,3527495,
Tianjin,,1980,3750476,
Tianjin,,1985,4097324.0000000005,
Tianjin,,1990,4558206,
Tianjin,,1995,5643951,
Tianjin,,2000,6988727,
Tianjin,,2005,8430065,
Tianjin,,2010,10150076,
Tianjin,,2015,12516041,
Tianjin,,2020,,13589078
Tianjin,,2025,,14704080
Tianjin,,2030,,15745240
Tianjin,,2035,,16445898
Tokyo,,1950,11274641,
Tokyo,,1955,13712679,
Tokyo,,1960,16678821,
Tokyo,,1965,20284371,
Tokyo,,1970,23297503,
Tokyo,,1975,26614733,
Tokyo,,1980,28548512,
Tokyo,,1985,30303794,
Tokyo,,1990,32530003,
Tokyo,,1995,33586573,
Tokyo,,2000,34449908,
Tokyo,,2005,35621544,
Tokyo,,2010,36859626,
Tokyo,,2015,37256109,
Tokyo,,2020,,37393129
Tokyo,,2025,,37036204
Tokyo,,2030,,36573799
Tokyo,,2035,,36014030
