Entity,Code,Year,Number of departures (per 1000 people)
Albania,ALB,2001,312.0738599
Albania,ALB,2002,427.071691
Albania,ALB,2003,444.1350486
Albania,ALB,2004,559.6412746
Albania,ALB,2005,696.3337381
Albania,ALB,2006,874.171734
Albania,ALB,2007,1003.024562
Albania,ALB,2008,1260.808994
Albania,ALB,2009,1162.759319
Albania,ALB,2010,1181.934493
Albania,ALB,2011,1418.149212
Albania,ALB,2012,1364.983669
Albania,ALB,2013,1356.77899
Albania,ALB,2014,1435.04699
Albania,ALB,2015,1563.507241
Albania,ALB,2016,1687.006124
Albania,ALB,2017,1804.794712
Algeria,DZA,1995,37.71065466
Algeria,DZA,1996,29.71635333
Algeria,DZA,1997,27.67104276
Algeria,DZA,1998,28.97573067
Algeria,DZA,1999,29.35095101
Algeria,DZA,2000,32.26048514
Algeria,DZA,2001,37.66758157
Algeria,DZA,2002,39.28733217
Algeria,DZA,2003,38.69950648
Algeria,DZA,2004,43.16030144
Algeria,DZA,2005,45.45121779
Algeria,DZA,2006,39.93733775
Algeria,DZA,2007,43.70252707
Algeria,DZA,2008,44.14711517
Algeria,DZA,2009,47.28504338
Algeria,DZA,2010,48.64659335
Algeria,DZA,2011,46.57850591
Algeria,DZA,2012,50.87067516
Algeria,DZA,2013,55.71413972
Algeria,DZA,2014,72.58398183
Algeria,DZA,2015,91.24305444
Algeria,DZA,2016,111.5597251
Algeria,DZA,2017,122.4159596
Angola,AGO,1995,0.210246076
Angola,AGO,1996,0.204327883
Argentina,ARG,1995,109.0161531
Argentina,ARG,1996,121.2884972
Argentina,ARG,1997,126.0535778
Argentina,ARG,1998,126.7052577
Argentina,ARG,1999,130.5935145
Argentina,ARG,2000,133.6573275
Argentina,ARG,2001,127.0832194
Argentina,ARG,2002,79.38902125
Argentina,ARG,2003,80.60689264
Argentina,ARG,2004,100.8038071
Argentina,ARG,2005,99.47506594
Argentina,ARG,2006,98.3849648
Argentina,ARG,2007,104.2526056
Argentina,ARG,2008,114.2577275
Argentina,ARG,2009,122.0851078
Argentina,ARG,2010,128.7360346
Argentina,ARG,2011,160.5017025
Argentina,ARG,2012,172.6024431
Argentina,ARG,2013,158.5804394
Argentina,ARG,2014,151.6233199
Argentina,ARG,2015,179.8111902
Argentina,ARG,2016,238.2351714
Argentina,ARG,2017,276.8852894
Armenia,ARM,2000,36.1612047
Armenia,ARM,2001,36.0578302
Armenia,ARM,2002,43.17878952
Armenia,ARM,2003,56.00094903
Armenia,ARM,2004,73.65164173
Armenia,ARM,2005,90.23033557
Armenia,ARM,2006,111.2050025
Armenia,ARM,2007,159.5605403
Armenia,ARM,2008,177.4281175
Armenia,ARM,2009,182.0961412
Armenia,ARM,2010,195.6688033
Armenia,ARM,2011,248.6454042
Armenia,ARM,2012,334.8459813
Armenia,ARM,2013,374.2860313
Armenia,ARM,2014,412.2193089
Armenia,ARM,2015,406.931898
Armenia,ARM,2016,431.822036
Armenia,ARM,2017,505.7243768
Australia,AUS,1995,139.3868969
Australia,AUS,1996,149.1999345
Australia,AUS,1997,158.3949884
Australia,AUS,1998,168.9380578
Australia,AUS,1999,169.6079467
Australia,AUS,2000,182.6345742
Australia,AUS,2001,177.3553804
Australia,AUS,2002,176.1197675
Australia,AUS,2003,170.2906199
Australia,AUS,2004,217.0672814
Australia,AUS,2005,233.1966972
Australia,AUS,2006,238.7198701
Australia,AUS,2007,262.2481707
Australia,AUS,2008,273.3279371
Australia,AUS,2009,289.3272542
Australia,AUS,2010,322.3983569
Australia,AUS,2011,348.61198
Australia,AUS,2012,361.0864693
Australia,AUS,2013,391.0843652
Australia,AUS,2014,403.3332343
Australia,AUS,2015,411.1814521
Australia,AUS,2016,428.7341245
Australia,AUS,2017,444.4095197
Austria,AUT,2000,939.6415133
Austria,AUT,2001,1038.261103
Austria,AUT,2002,1022.772084
Austria,AUT,2003,1032.331403
Austria,AUT,2004,1024.355706
Austria,AUT,2005,997.3469308
Austria,AUT,2006,1214.468012
Austria,AUT,2007,1190.526849
Austria,AUT,2008,1162.891865
Austria,AUT,2009,1213.065825
Austria,AUT,2010,1181.576306
Austria,AUT,2011,1176.646814
Austria,AUT,2012,1300.120012
Austria,AUT,2013,1258.398908
Austria,AUT,2014,1286.396214
Austria,AUT,2015,1229.708451
Austria,AUT,2016,1320.182935
Austria,AUT,2017,1304.429954
Azerbaijan,AZE,1996,55.64858946
Azerbaijan,AZE,1997,83.43699168
Azerbaijan,AZE,1998,144.8249716
Azerbaijan,AZE,1999,150.8252169
Azerbaijan,AZE,2000,164.7491489
Azerbaijan,AZE,2001,139.3135418
Azerbaijan,AZE,2002,139.6239576
Azerbaijan,AZE,2003,179.1331172
Azerbaijan,AZE,2004,177.3310058
Azerbaijan,AZE,2005,218.0687214
Azerbaijan,AZE,2006,216.3933267
Azerbaijan,AZE,2007,190.0644425
Azerbaijan,AZE,2008,246.7078988
Azerbaijan,AZE,2009,264.1037021
Azerbaijan,AZE,2010,350.7713214
Azerbaijan,AZE,2011,387.0018822
Azerbaijan,AZE,2012,416.7480656
Azerbaijan,AZE,2013,455.0377565
Azerbaijan,AZE,2014,445.0933233
Azerbaijan,AZE,2015,424.4849467
Azerbaijan,AZE,2016,438.8278848
Azerbaijan,AZE,2017,416.6316432
Bahrain,BHR,2015,3455.904596
Bangladesh,BGD,1995,6.992013124
Bangladesh,BGD,1996,7.512184933
Bangladesh,BGD,1997,6.992067475
Bangladesh,BGD,1998,7.845124277
Bangladesh,BGD,1999,8.548420069
Bangladesh,BGD,2000,8.572650435
Bangladesh,BGD,2001,8.01597767
Bangladesh,BGD,2002,8.47726461
Bangladesh,BGD,2003,10.17127148
Bangladesh,BGD,2004,11.07513842
Bangladesh,BGD,2005,12.31950384
Bangladesh,BGD,2006,12.51306993
Bangladesh,BGD,2007,15.81495714
Bangladesh,BGD,2008,5.880146592
Bangladesh,BGD,2009,14.9812527
Bangladesh,BGD,2010,12.57319284
Bangladesh,BGD,2011,13.81959276
Bangladesh,BGD,2012,14.59605095
Bangladesh,BGD,2013,9.265647197
Belarus,BLR,1995,61.40867177
Belarus,BLR,1996,69.19291339
Belarus,BLR,1997,95.77938124
Belarus,BLR,1998,89.48257027
Belarus,BLR,1999,93.15093304
Belarus,BLR,2000,129.1633641
Belarus,BLR,2001,139.6981573
Belarus,BLR,2002,145.5570436
Belarus,BLR,2003,113.0987433
Belarus,BLR,2004,52.92829111
Belarus,BLR,2005,59.18926232
Belarus,BLR,2006,54.65946425
Belarus,BLR,2007,54.07410747
Belarus,BLR,2008,39.88251451
Belarus,BLR,2009,33.23948788
Belarus,BLR,2010,43.72755604
Belarus,BLR,2011,33.77960413
Belarus,BLR,2012,52.08941417
Belarus,BLR,2013,74.79402328
Belarus,BLR,2014,78.20984112
Belarus,BLR,2015,70.70886746
Belarus,BLR,2016,49.14995831
Belarus,BLR,2017,74.25423662
Belgium,BEL,1996,555.7942063
Belgium,BEL,1997,741.3631633
Belgium,BEL,1998,762.1281881
Belgium,BEL,1999,626.8078787
Belgium,BEL,2000,773.7592976
Belgium,BEL,2001,638.696864
Belgium,BEL,2002,655.486396
Belgium,BEL,2003,700.4536276
Belgium,BEL,2004,842.806308
Belgium,BEL,2005,890.0983784
Belgium,BEL,2006,744.4094867
Belgium,BEL,2007,787.806921
Belgium,BEL,2008,829.7873393
Belgium,BEL,2009,812.7639225
Belgium,BEL,2010,807.7582977
Belgium,BEL,2011,880.4512487
Belgium,BEL,2012,860.5129685
Belgium,BEL,2013,966.0356599
Belgium,BEL,2014,980.5463564
Belgium,BEL,2015,961.0441401
Belgium,BEL,2016,1180.08137
Belgium,BEL,2017,1068.671063
Bermuda,BMU,2001,2239.856649
Bermuda,BMU,2002,2304.806714
Bermuda,BMU,2003,2226.608764
Bermuda,BMU,2004,2447.442736
Bermuda,BMU,2005,2509.586308
Bermuda,BMU,2006,2634.719402
