Entity,Code,Year,Country in Transition or No Data (People),Population in Colony (People),Population in Autocracy (People),Population in Closed Anocracy (People),Population in Open Anocracy (People),Population in Democracy (People)
World,OWID_WRL,1816,118729056,403637998,483991084,46128044,0,9243738
World,OWID_WRL,1817,119897024,403744053,487281542,46449658,0,9422669
World,OWID_WRL,1818,116963264,407212350,490595355,47546333,0,9605062
World,OWID_WRL,1819,117421120,408091621,493932466,47875230,0,9790987
World,OWID_WRL,1820,114607040,408251897,485091050,64430844,0,9980510
World,OWID_WRL,1821,118455856,404218121,488356203,66341893,0,10298969
World,OWID_WRL,1822,115366648,401797198,491652055,73598209,0,10625503
World,OWID_WRL,1823,114324088,403971466,507434093,61785450,0,10951077
World,OWID_WRL,1824,109612408,405031594,515682556,62346574,0,11276695
World,OWID_WRL,1825,106770848,407231223,519230244,64654734,0,11602355
World,OWID_WRL,1826,105705960,409441793,522794924,63781380,1431918,11928057
World,OWID_WRL,1827,104584912,409312007,526363755,66769066,1452023,12250905
World,OWID_WRL,1828,103640808,411467894,529950511,67321966,1472410,12580590
World,OWID_WRL,1829,103508408,412847077,533554336,67878070,1493084,12906416
World,OWID_WRL,1830,101567776,408411975,539524322,73732861,1514048,13240314
World,OWID_WRL,1831,103162928,410600250,540579476,74308065,1535306,13658580
World,OWID_WRL,1832,103324024,412782296,541630931,74878834,3052329,14077890
World,OWID_WRL,1833,104989504,414988397,542705499,75414101,3101239,14496235
World,OWID_WRL,1834,106741240,417202704,543800225,75879866,3150946,14914618
World,OWID_WRL,1835,108307472,419432423,544908212,78168520,1578097,15334042
World,OWID_WRL,1836,109963880,421688439,532427182,88755424,5223643,15752501
World,OWID_WRL,1837,111590056,423960229,533488040,69314938,25410974,16170997
World,OWID_WRL,1838,112885416,426259725,531996541,70171185,28196568,16590533
World,OWID_WRL,1839,113565904,428575397,533002128,71656606,28494610,17009100
World,OWID_WRL,1840,115210760,430910475,534016368,72169388,28794394,17443768
World,OWID_WRL,1841,117934168,433284915,534760532,71617359,29169579,18056100
World,OWID_WRL,1842,118411288,435642835,535515021,77129655,25768582,18667464
World,OWID_WRL,1843,120239672,438004397,536263350,77647237,26046544,19278864
World,OWID_WRL,1844,122005264,440271253,537037290,78300702,26351830,19890300
World,OWID_WRL,1845,123791808,442672154,537816365,78827831,26652109,20502776
World,OWID_WRL,1846,133154416,445072753,534304453,76103696,26948004,21114282
World,OWID_WRL,1847,135070496,447294213,535032206,76587945,27447854,21725822
World,OWID_WRL,1848,127718008,449343395,532690500,51641161,27478702,60772396
World,OWID_WRL,1849,130017480,451558560,531952484,52045387,29046654,61532008
World,OWID_WRL,1850,132261536,453788459,532699418,52475735,29148245,62308718
World,OWID_WRL,1851,137791104,456137711,529892455,89371938,29233714,26804304
World,OWID_WRL,1852,143243392,458680796,563725138,52960097,29554495,27636918
World,OWID_WRL,1853,148169680,461283630,561109449,48840838,29885903,33102952
World,OWID_WRL,1854,152855040,463930386,558535639,49584897,30229038,33872238
World,OWID_WRL,1855,153252608,466635775,556277297,49313493,35425609,34741944
World,OWID_WRL,1856,158041968,469367434,553693571,49723355,35873436,35612680
World,OWID_WRL,1857,162861200,472005893,551153259,50127321,36258164,36600114
World,OWID_WRL,1858,167214160,474786210,551670923,50932704,33652016,37472499
World,OWID_WRL,1859,171962608,469042636,564844271,44262055,34024259,38346092
World,OWID_WRL,1860,176666272,471768973,559475755,49960959,32174724,39220900
World,OWID_WRL,1861,179928688,448187023,554350683,80964641,32537793,40118600
World,OWID_WRL,1862,183179840,450711465,520034907,115078271,32921014,41017218
World,OWID_WRL,1863,195029952,453236088,519098891,103828547,36724070,41917836
World,OWID_WRL,1864,189592448,455778299,519627078,111831121,33658768,46279525
World,OWID_WRL,1865,192759552,458362832,518711419,112646854,34044742,47214378
World,OWID_WRL,1866,196065840,460923339,526637470,106370410,32608406,48149480
World,OWID_WRL,1867,199185392,454050821,525793718,110725782,36630045,51428771
World,OWID_WRL,1868,163971136,456544973,547465118,93316846,71233424,52388951
World,OWID_WRL,1869,166607840,459071210,469479626,171812769,71785207,53317841
World,OWID_WRL,1870,168721648,463013940,468094317,172777590,72339462,54331632
World,OWID_WRL,1871,169025856,466128949,470036641,156775059,89220088,55348314
World,OWID_WRL,1872,168350144,469440423,470484241,121496232,127535862,56538342
World,OWID_WRL,1873,167340784,472659528,470681134,140656914,112142189,57731095
World,OWID_WRL,1874,166339312,475836520,472645085,139829872,115041905,58943587
World,OWID_WRL,1875,165469520,478882212,474622128,141029667,115806980,60310830
World,OWID_WRL,1876,164310608,481935960,475859031,143228242,78842823,99492194
World,OWID_WRL,1877,162998160,485174045,490183473,132342161,79268899,101314407
World,OWID_WRL,1878,161714832,488591187,492326639,133502089,80115154,102710488
World,OWID_WRL,1879,160570720,488822654,494491195,119872457,98870386,104081449
World,OWID_WRL,1880,159383200,492261701,490505925,122917104,73078768,136382195
World,OWID_WRL,1881,161125664,495492403,495854620,117818301,73774398,138357524
World,OWID_WRL,1882,160095744,498626998,498235641,118699405,74456320,140279242
World,OWID_WRL,1883,154626528,503146513,497518879,125761412,75198621,142190675
World,OWID_WRL,1884,150145152,509573312,499888285,127387342,75436258,144143096
World,OWID_WRL,1885,148634640,513257813,502274363,128463723,76112205,146045351
World,OWID_WRL,1886,143429536,520763400,504677149,129540100,79879601,144799623
World,OWID_WRL,1887,142150592,524389568,507095662,130729200,80561879,146553030
World,OWID_WRL,1888,140762448,528002351,509532986,131970621,76573460,153120628
World,OWID_WRL,1889,139398704,531531216,498049212,147184278,77393448,154982911
World,OWID_WRL,1890,134676880,538612099,500258347,101104564,125578637,156984189
World,OWID_WRL,1891,132969376,542010493,503283009,102139852,126780573,158806970
World,OWID_WRL,1892,130918632,545721398,506329898,103214321,127972174,160712699
World,OWID_WRL,1893,129459664,548873931,509395118,104308893,129168579,162648408
World,OWID_WRL,1894,127233120,552686925,516138831,101308698,130972059,164609875
World,OWID_WRL,1895,124855104,556565152,519330892,102375760,132462930,166567344
World,OWID_WRL,1896,122613712,560343652,522433288,104807374,132710517,168572158
World,OWID_WRL,1897,119945784,564363918,525587076,105978579,134398153,170649881
World,OWID_WRL,1898,117255432,568435723,528762365,103624570,137526577,174883783
World,OWID_WRL,1899,114699176,572523515,531958236,104768682,139303258,176926720
World,OWID_WRL,1900,112325080,576615616,536554279,105892805,121096274,197515944
World,OWID_WRL,1901,109400416,576920591,539997812,107096874,122896834,203634995
World,OWID_WRL,1902,106378976,579004471,543464492,108387384,126579281,206181936
World,OWID_WRL,1903,103435944,582599784,547771418,104685862,132974487,208647450
World,OWID_WRL,1904,100411248,586513107,551305564,103814355,137017179,211207989
